channel,mni_x,mni_y,mni_z,matched_roi,distance_mm,flag
1,-48.4,53.6,-3.64,41,15.0,
2,-36.1,64.72,-11.74,41,13.52,
3,-49.13,46.02,20.01,35,13.01,
4,-32.29,47.64,39.2,25,12.4,
5,-43.32,57.22,11.17,41,16.32,
6,-25.98,69.91,1.12,41,16.37,
7,-25.94,59.95,30.38,25,17.49,
8,-15.29,69.41,18.9,48,24.89,dist>20mm
9,-67.05,-55.81,-8.56,31,11.77,
10,-70.71,-44.93,4.67,57,16.02,
11,-60.53,-68.59,7.72,14,8.25,
12,-64.8,-57.81,25.34,50,12.84,
13,-53.24,-72.29,37.07,45,9.53,
14,-66.06,-44.68,41.73,23,8.59,
15,-54.22,-59.26,51.92,38,8.43,
16,-42.4,-47.74,66.23,15,16.43,
17,-39.77,-72.95,53.07,45,17.1,
18,-29.57,-59.89,69.97,13,21.67,dist>20mm
19,30.19,-58.84,70.14,70,19.36,
20,39.57,-72.5,53.45,70,17.02,
21,-13.4,72.37,-7.68,48,25.24,dist>20mm
22,1.06,68.38,8.77,48,20.45,dist>20mm
23,13.61,72.44,-7.36,106,26.41,dist>20mm
24,-10.53,50.22,49.29,51,9.53,
25,1.59,57.72,37.89,109,14.12,
26,9.97,50.95,48.59,109,7.36,
27,15.08,69.48,18.81,106,25.26,dist>20mm
28,25.96,59.69,30.71,83,15.75,
29,25.89,70.06,1.22,98,17.26,
30,42.58,57.8,11.9,98,17.67,
31,32.23,48.8,38.15,83,10.89,
32,48.25,46.8,20.4,83,16.99,
33,36.29,64.91,-10.96,98,13.43,
34,48.7,53.53,-2.92,84,11.31,
35,41.62,-46.26,66.61,72,16.28,
36,54.45,-58.18,52.28,96,8.68,
37,66.07,-44.19,42.08,81,10.47,
38,53.55,-71.58,37.29,111,11.1,
39,65.31,-56.53,25.66,103,13.58,
40,61.11,-67.83,8.17,71,9.2,
41,70.33,-44.16,7.38,71,19.48,
42,67.23,-55.81,-7.13,90,9.92,
