channel,primary_auditory_r,primary_auditory_q,primary_auditory_sig,primary_visual_r,primary_visual_q,primary_visual_sig,global_grey_matter_r,global_grey_matter_q,global_grey_matter_sig
1,-0.0534,0.996,0,-0.0643,0.998,0,0.0449,0.7263,0
2,-0.0989,0.996,0,-0.0911,0.998,0,0.0538,0.7263,0
3,-0.0443,0.996,0,-0.0719,0.998,0,0.0525,0.7263,0
4,-0.1211,0.996,0,-0.0521,0.998,0,0.0764,0.6179,0
5,-0.1463,0.996,0,0.018,0.998,0,0.0716,0.6179,0
6,-0.0476,0.996,0,-0.1627,0.998,0,0.0169,0.7263,0
7,-0.063,0.996,0,-0.1197,0.998,0,0.0291,0.7263,0
8,-0.0649,0.996,0,-0.0696,0.998,0,0.018,0.7263,0
9,0.0386,0.996,0,0.0328,0.998,0,0.1049,0.6179,0
10,0.1512,0.996,0,-0.0086,0.998,0,0.0873,0.6179,0
11,0.014,0.996,0,-0.08,0.998,0,0.0193,0.7263,0
12,-0.0454,0.996,0,-0.1799,0.998,0,-0.0881,0.9121,0
13,-0.0484,0.996,0,-0.1374,0.998,0,-0.093,0.9121,0
14,-0.0714,0.996,0,-0.1083,0.998,0,-0.0149,0.8129,0
15,0.0065,0.996,0,-0.1115,0.998,0,-0.0375,0.8712,0
16,0.047,0.996,0,-0.0452,0.998,0,0.0109,0.7263,0
17,-0.0273,0.996,0,-0.036,0.998,0,-0.0627,0.9121,0
18,-0.01,0.996,0,-0.0396,0.998,0,0.0253,0.7263,0
19,0.063,0.996,0,-0.0374,0.998,0,0.0745,0.6179,0
20,-0.0125,0.996,0,-0.0143,0.998,0,0.0797,0.6179,0
21,-0.0818,0.996,0,-0.2017,0.998,0,-0.0635,0.9121,0
22,-0.1167,0.996,0,-0.2076,0.998,0,-0.0977,0.9121,0
23,-0.1398,0.996,0,-0.1255,0.998,0,-0.0732,0.9121,0
24,0.0191,0.996,0,-0.0119,0.998,0,0.1175,0.6179,0
25,-0.0222,0.996,0,-0.1189,0.998,0,-0.0026,0.7263,0
26,0.0767,0.996,0,-0.042,0.998,0,0.0891,0.6179,0
27,-0.1133,0.996,0,-0.0514,0.998,0,0.0066,0.7263,0
28,-0.0836,0.996,0,0.0794,0.998,0,0.0944,0.6179,0
29,-0.0801,0.996,0,-0.1729,0.998,0,-0.0061,0.7263,0
30,-0.1576,0.996,0,0.0507,0.998,0,0.0394,0.7263,0
31,0.0069,0.996,0,-0.0069,0.998,0,0.1281,0.6179,0
32,-0.13,0.996,0,-0.0249,0.998,0,0.0072,0.7263,0
33,-0.1168,0.996,0,-0.13,0.998,0,-0.0139,0.8098,0
34,-0.1372,0.996,0,-0.0242,0.998,0,0.0041,0.7263,0
35,-0.1431,0.996,0,0.0119,0.998,0,-0.034,0.8531,0
36,-0.1005,0.996,0,-0.0966,0.998,0,-0.0655,0.9121,0
37,-0.1503,0.996,0,-0.0261,0.998,0,-0.0178,0.8129,0
38,-0.0893,0.996,0,-0.0885,0.998,0,-0.0519,0.9121,0
39,-0.1717,0.996,0,-0.0001,0.998,0,0.025,0.7263,0
40,-0.0716,0.996,0,0.0502,0.998,0,0.0479,0.7263,0
41,-0.0167,0.996,0,0.0593,0.998,0,0.0943,0.6179,0
42,-0.0399,0.996,0,0.0335,0.998,0,0.0233,0.7263,0
