channel,mni_x,mni_y,mni_z,matched_roi,distance_mm,flag
1,-48.4,53.6,-3.64,41,15.0,
2,-36.1,64.72,-11.74,41,13.52,
3,-49.13,46.02,20.01,35,13.01,
4,-32.29,47.64,39.2,25,12.4,
5,-43.32,57.22,11.17,41,16.32,
6,-25.98,69.91,1.12,41,16.37,
7,-25.94,59.95,30.38,25,17.49,
8,-15.29,69.41,18.9,48,24.89,dist>20mm
9,-13.4,72.37,-7.68,48,25.24,dist>20mm
10,1.06,68.38,8.77,48,20.45,dist>20mm
11,13.61,72.44,-7.36,106,26.41,dist>20mm
12,-10.53,50.22,49.29,51,9.53,
13,1.59,57.72,37.89,109,14.12,
14,9.97,50.95,48.59,109,7.36,
15,15.08,69.48,18.81,106,25.26,dist>20mm
16,25.96,59.69,30.71,83,15.75,
17,25.89,70.06,1.22,98,17.26,
18,42.58,57.8,11.9,98,17.67,
19,32.23,48.8,38.15,83,10.89,
20,48.25,46.8,20.4,83,16.99,
21,36.29,64.91,-10.96,98,13.43,
22,48.7,53.53,-2.92,84,11.31,
