channel,primary_auditory_r,primary_auditory_q,primary_auditory_sig,primary_visual_r,primary_visual_q,primary_visual_sig,global_grey_matter_r,global_grey_matter_q,global_grey_matter_sig
1,-0.1421,0.991,0,-0.1013,0.998,0,-0.0113,0.8645,0
2,-0.1259,0.991,0,-0.1009,0.998,0,0.0054,0.8645,0
3,-0.0733,0.991,0,-0.0649,0.998,0,-0.0031,0.8645,0
4,-0.1105,0.991,0,0.0208,0.998,0,0.0699,0.7209,0
5,-0.21,0.991,0,0.0045,0.998,0,0.1008,0.6374,0
6,-0.1233,0.991,0,-0.1838,0.998,0,-0.0178,0.8645,0
7,-0.0239,0.991,0,-0.1206,0.998,0,0.0496,0.8645,0
8,-0.0688,0.991,0,-0.1228,0.998,0,-0.0507,0.8755,0
9,-0.1008,0.991,0,-0.2332,0.998,0,-0.1875,0.995,0
10,-0.1259,0.991,0,-0.239,0.998,0,-0.1828,0.995,0
11,-0.1362,0.991,0,-0.1408,0.998,0,-0.1208,0.995,0
12,0.0155,0.991,0,-0.051,0.998,0,0.0248,0.8645,0
13,0.005,0.991,0,-0.1839,0.998,0,-0.0622,0.9173,0
14,0.0623,0.991,0,-0.0119,0.998,0,0.0148,0.8645,0
15,-0.1177,0.991,0,-0.007,0.998,0,0.0267,0.8645,0
16,-0.0582,0.991,0,0.1326,0.998,0,0.0917,0.6374,0
17,-0.1453,0.991,0,-0.1596,0.998,0,-0.0443,0.8755,0
18,-0.1792,0.991,0,0.0878,0.998,0,0.0864,0.6374,0
19,-0.0513,0.991,0,0.0542,0.998,0,0.122,0.6374,0
20,-0.1192,0.991,0,-0.0429,0.998,0,0.0032,0.8645,0
21,-0.1195,0.991,0,-0.1397,0.998,0,-0.0472,0.8755,0
22,-0.1276,0.991,0,0.0183,0.998,0,0.0006,0.8645,0
