roi,pearson_r,indvdl_r,p_perm,q_fdr,significant,pnc
1,0.1843,0.0409,0.021,0.0624,0,0.1893
2,0.2734,0.0812,0.002,0.0244,1,0.2825
3,0.1806,0.0247,0.028,0.0776,0,0.1943
4,0.151,0.0406,0.04,0.0903,0,0.1633
5,0.0056,0.0188,0.4705,0.5219,0,0.0061
6,0.1039,0.0404,0.0599,0.128,0,0.1286
7,0.1857,0.0591,0.005,0.0321,1,0.2881
8,0.1447,0.0343,0.033,0.0838,0,0.1705
9,0.031,0.0101,0.3017,0.3609,0,0.0391
10,0.1564,0.048,0.009,0.0369,1,0.1604
11,0.2603,0.0392,0.004,0.0287,1,0.2742
12,0.2257,0.0561,0.007,0.0348,1,0.2358
13,0.0644,0.0191,0.2687,0.3312,0,0.0689
14,0.2631,0.0623,0.001,0.0244,1,0.2759
15,0.1093,0.0079,0.1019,0.1828,0,0.1176
16,0.0904,0.0432,0.1079,0.188,0,0.1009
17,0.0798,-0.0028,0.1688,0.2512,0,0.0902
18,0.2052,0.078,0.004,0.0287,1,0.2213
19,0.1091,0.0587,0.0629,0.128,0,0.1358
20,0.1095,0.0093,0.03,0.0778,0,0.1344
21,0.1424,0.0335,0.039,0.0903,0,0.1554
22,0.0523,0.018,0.2318,0.304,0,0.0647
23,0.213,0.0337,0.008,0.0348,1,0.2451
24,0.0728,-0.0071,0.1129,0.1937,0,0.1136
25,0.1486,0.0289,0.034,0.0846,0,0.1952
26,0.0302,0.0081,0.3626,0.4237,0,0.042
27,0.1139,0.0263,0.04,0.0903,0,0.1769
28,0.1755,0.0405,0.006,0.0332,1,0.2369
29,0.0588,0.0145,0.2278,0.302,0,0.0911
30,0.2723,0.076,0.002,0.0244,1,0.3904
31,0.0531,0.011,0.2428,0.3085,0,0.0681
32,0.0089,-0.0053,0.4515,0.5101,0,0.0097
33,0.0928,0.0054,0.1538,0.2406,0,0.1174
34,0.0032,0.0041,0.4815,0.5292,0,0.0037
35,-0.0606,0.0051,0.8092,0.8227,0,-0.0753
36,-0.0447,-0.0161,0.8032,0.8227,0,-0.1063
