roi,pearson_r,indvdl_r,p_perm,q_fdr,significant,pnc
1,0.1503,0.0339,0.029,0.2285,0,0.1543
2,0.2446,0.061,0.003,0.1828,0,0.2527
3,0.1697,0.0548,0.024,0.2285,0,0.1826
4,0.1267,0.0878,0.0689,0.2403,0,0.1371
5,0.0031,0.0223,0.4725,0.6626,0,0.0034
6,0.1068,0.0295,0.048,0.2391,0,0.1322
7,0.1504,0.0343,0.019,0.2285,0,0.2333
8,0.0839,0.0261,0.1508,0.3681,0,0.0988
9,0.0031,-0.0031,0.4915,0.6676,0,0.0039
10,0.0281,0.0167,0.3357,0.5768,0,0.0288
11,0.2157,0.0534,0.009,0.1828,0,0.2271
12,0.1687,0.0532,0.034,0.2302,0,0.1762
13,0.0318,0.0165,0.3816,0.6031,0,0.034
14,0.1043,0.0455,0.1508,0.3681,0,0.1093
15,0.0519,-0.0054,0.2637,0.5027,0,0.0558
16,0.0124,0.0053,0.4386,0.6295,0,0.0139
17,0.0561,0.0064,0.2617,0.5027,0,0.0635
18,0.0106,0.0182,0.4336,0.6295,0,0.0114
19,0.0366,0.0237,0.3027,0.5595,0,0.0455
20,-0.0167,-0.0007,0.5854,0.7205,0,-0.0206
21,-0.038,-0.0205,0.6683,0.7863,0,-0.0414
22,0.0927,0.0297,0.1109,0.325,0,0.1148
23,0.0456,0.0241,0.2577,0.5027,0,0.0525
24,-0.0595,0.0096,0.8162,0.8993,0,-0.0928
25,0.1552,0.0414,0.036,0.2309,0,0.2038
26,0.0377,0.0101,0.3167,0.5682,0,0.0525
27,0.0685,0.0098,0.1189,0.3296,0,0.1064
28,0.192,0.0498,0.009,0.1828,0,0.2592
29,0.0852,0.0082,0.1289,0.3418,0,0.1319
30,0.201,0.058,0.008,0.1828,0,0.2881
31,0.0291,0.0031,0.3417,0.5789,0,0.0373
32,0.0213,0.0147,0.4156,0.6259,0,0.0232
33,-0.015,0.0037,0.5884,0.7205,0,-0.019
34,-0.0787,-0.0342,0.8551,0.9036,0,-0.0911
35,-0.1733,-0.0268,0.989,0.989,0,-0.2154
36,-0.0169,-0.0011,0.6024,0.7205,0,-0.0402
37,0.1002,0.0308,0.1119,0.325,0,0.1687
38,0.1431,0.043,0.0549,0.2403,0,0.1718
39,0.0415,0.0006,0.3117,0.5676,0,0.0553
40,0.0756,0.0226,0.1758,0.4017,0,0.0975
41,0.1847,0.0582,0.038,0.2316,0,0.2486
42,0.1269,0.0406,0.0689,0.2403,0,0.1749
43,0.0004,-0.011,0.4915,0.6676,0,0.0004
44,0.15,0.0331,0.03,0.2285,0,0.1809
45,0.0359,0.0096,0.3566,0.596,0,0.0411
46,0.0295,0.0223,0.3856,0.6031,0,0.0373
47,0.0385,0.0185,0.3277,0.5711,0,0.0433
48,0.191,0.0413,0.03,0.2285,0,0.2417
49,0.1387,0.0543,0.025,0.2285,0,0.1587
50,0.0758,0.0136,0.2018,0.4396,0,0.0897
