roi,pearson_r,indvdl_r,p_perm,q_fdr,significant,pnc
1,0.0718,0.0189,0.2008,0.2526,0,0.0737
2,0.2644,0.15,0.002,0.0098,1,0.2731
3,0.1101,0.0774,0.0909,0.1435,0,0.1185
4,0.0563,0.0447,0.2338,0.2852,0,0.0609
5,-0.0412,0.0048,0.7243,0.7425,0,-0.0446
6,0.0799,0.0153,0.0929,0.1435,0,0.0989
7,0.0689,0.0305,0.1838,0.2361,0,0.1069
8,0.129,0.084,0.0549,0.0971,0,0.1519
9,-0.0752,-0.043,0.8621,0.8693,0,-0.0948
10,0.0206,0.0463,0.4056,0.4582,0,0.0211
11,0.445,0.2003,0.001,0.0072,1,0.4687
12,0.3096,0.1519,0.001,0.0072,1,0.3234
13,0.2734,0.1043,0.003,0.0118,1,0.2923
14,0.3858,0.1827,0.001,0.0072,1,0.4045
15,0.3436,0.1489,0.001,0.0072,1,0.3695
16,0.2197,0.1082,0.006,0.0198,1,0.2454
17,0.2041,0.0875,0.011,0.0274,1,0.2306
18,0.2493,0.1429,0.003,0.0118,1,0.2689
19,0.1443,0.0946,0.048,0.0886,0,0.1798
20,0.2632,0.1205,0.001,0.0072,1,0.3232
21,0.2044,0.1104,0.009,0.0244,1,0.223
22,-0.0137,0.0014,0.5764,0.6279,0,-0.017
23,0.2316,0.109,0.001,0.0072,1,0.2664
24,0.0716,0.0558,0.1528,0.2049,0,0.1117
25,0.1843,0.0694,0.01,0.0259,1,0.242
26,-0.1221,-0.0383,0.9281,0.9281,0,-0.1697
27,0.1158,0.06,0.0729,0.1219,0,0.1797
28,0.0902,0.0518,0.1419,0.1937,0,0.1218
29,0.0763,0.0578,0.1728,0.2267,0,0.1182
30,0.1061,0.0477,0.1159,0.1683,0,0.1521
31,0.1167,0.0715,0.1099,0.1635,0,0.1496
32,0.2369,0.1306,0.005,0.0174,1,0.2586
33,0.2913,0.1141,0.001,0.0072,1,0.3688
34,0.0489,0.004,0.2667,0.3159,0,0.0566
35,-0.0353,-0.0187,0.6763,0.7175,0,-0.0438
36,0.0636,0.0266,0.1758,0.2282,0,0.1514
37,0.1944,0.1098,0.003,0.0118,1,0.3272
38,0.1467,0.0732,0.038,0.0713,0,0.1761
39,0.0929,0.0925,0.1389,0.1925,0,0.1238
40,0.1426,0.0819,0.0579,0.0996,0,0.1838
41,0.2539,0.1505,0.001,0.0072,1,0.3418
42,0.0986,0.0726,0.0989,0.1508,0,0.1359
43,0.0523,0.036,0.2907,0.3372,0,0.0576
44,0.058,0.0314,0.2448,0.2956,0,0.0699
45,0.2799,0.1151,0.004,0.0143,1,0.3203
46,0.1991,0.082,0.021,0.0465,1,0.252
