roi,pearson_r,indvdl_r,p_perm,q_fdr,significant,pnc
1,0.1455,0.0626,0.0529,0.1095,0,0.1494
2,0.2713,0.0975,0.001,0.0135,1,0.2803
3,0.1712,0.0466,0.018,0.0577,0,0.1843
4,0.1299,0.0355,0.0629,0.1238,0,0.1405
5,0.0342,0.0322,0.3247,0.4259,0,0.037
6,0.1655,0.064,0.009,0.0406,1,0.2048
7,0.1964,0.0639,0.002,0.0174,1,0.3046
8,0.1639,0.0338,0.01,0.042,1,0.1931
9,0.0805,0.0317,0.0679,0.1316,0,0.1015
10,0.1242,0.0396,0.04,0.0925,0,0.1273
11,0.267,0.0756,0.003,0.0203,1,0.2813
12,0.2516,0.0527,0.001,0.0135,1,0.2628
13,0.129,0.0087,0.0549,0.1099,0,0.1379
14,0.2793,0.067,0.001,0.0135,1,0.2928
15,0.1509,0.0357,0.037,0.092,0,0.1623
16,0.1617,0.0556,0.006,0.0318,1,0.1806
17,0.0866,0.0277,0.1219,0.2065,0,0.0979
18,0.1853,0.0429,0.003,0.0203,1,0.1999
19,0.1003,0.0219,0.0739,0.1409,0,0.1249
20,0.1124,0.0253,0.023,0.0701,0,0.138
21,0.153,0.0359,0.036,0.0914,0,0.1669
22,0.147,0.0267,0.026,0.0754,0,0.1819
23,0.2344,0.078,0.001,0.0135,1,0.2696
24,0.0726,0.0129,0.1279,0.208,0,0.1133
25,0.209,0.0511,0.006,0.0318,1,0.2745
26,0.0665,0.0271,0.1828,0.2624,0,0.0924
27,-0.0392,-0.0063,0.7033,0.7872,0,-0.0608
28,0.2275,0.0669,0.001,0.0135,1,0.3071
29,0.0395,0.0178,0.3117,0.4133,0,0.0612
30,0.2485,0.0794,0.002,0.0174,1,0.3563
31,0.0715,0.0264,0.1788,0.2624,0,0.0916
32,0.0723,0.0183,0.1978,0.2806,0,0.0789
33,0.1404,0.0282,0.0509,0.109,0,0.1777
34,0.0667,0.019,0.1708,0.2588,0,0.0772
35,-0.0704,-0.0065,0.8322,0.8677,0,-0.0875
36,-0.0275,-0.0003,0.6953,0.7854,0,-0.0655
37,0.1459,0.0441,0.044,0.0975,0,0.2456
