channel,primary_auditory_r,primary_auditory_q,primary_auditory_sig,primary_visual_r,primary_visual_q,primary_visual_sig,global_grey_matter_r,global_grey_matter_q,global_grey_matter_sig
1,-0.0192,0.9497,0,-0.0875,0.999,0,-0.04,0.8981,0
2,-0.0246,0.9497,0,-0.1017,0.999,0,-0.0297,0.8981,0
3,0.017,0.9497,0,-0.2167,0.999,0,-0.0546,0.8981,0
4,0.0936,0.9497,0,0.0003,0.999,0,0.1116,0.2937,0
5,-0.0858,0.9497,0,-0.0863,0.999,0,-0.0095,0.8796,0
6,-0.029,0.9497,0,-0.2112,0.999,0,-0.066,0.8981,0
7,0.0014,0.9497,0,-0.089,0.999,0,0.034,0.7332,0
8,-0.0248,0.9497,0,-0.1666,0.999,0,-0.0142,0.8931,0
9,0.0608,0.9497,0,-0.0155,0.999,0,0.1662,0.2937,0
10,0.0242,0.9497,0,0.0309,0.999,0,0.1388,0.2937,0
11,0.0157,0.9497,0,-0.0674,0.999,0,0.1523,0.2937,0
12,-0.0117,0.9497,0,-0.0774,0.999,0,0.0941,0.5427,0
13,-0.052,0.9497,0,-0.0616,0.999,0,0.0408,0.6861,0
14,-0.0917,0.9497,0,-0.0626,0.999,0,0.0227,0.7632,0
15,-0.0492,0.9497,0,-0.1245,0.999,0,-0.0304,0.8981,0
16,0.0034,0.9497,0,0.0143,0.999,0,0.0609,0.5427,0
17,-0.0018,0.9497,0,-0.0446,0.999,0,0.0078,0.8566,0
18,-0.0222,0.9497,0,-0.0571,0.999,0,0.019,0.7632,0
19,0.0971,0.9497,0,0.0011,0.999,0,0.0688,0.5427,0
20,-0.0152,0.9497,0,0.0052,0.999,0,0.0683,0.5427,0
21,-0.0854,0.9497,0,-0.2278,0.999,0,-0.0681,0.8981,0
22,-0.113,0.9497,0,-0.2118,0.999,0,-0.1313,0.9281,0
23,-0.052,0.9497,0,-0.199,0.999,0,-0.1069,0.9149,0
24,0.0355,0.9497,0,0.0145,0.999,0,0.0665,0.5427,0
25,0.0283,0.9497,0,-0.1387,0.999,0,-0.0455,0.8981,0
26,0.0106,0.9497,0,-0.046,0.999,0,0.0353,0.6876,0
27,-0.0681,0.9497,0,-0.1111,0.999,0,-0.0011,0.8566,0
28,-0.0562,0.9497,0,-0.0946,0.999,0,0.0029,0.8566,0
29,-0.0881,0.9497,0,-0.2399,0.999,0,-0.1122,0.9149,0
30,-0.132,0.969,0,-0.0518,0.999,0,-0.0795,0.9091,0
31,0.0236,0.9497,0,-0.124,0.999,0,0.0658,0.5427,0
32,-0.0987,0.9497,0,-0.1208,0.999,0,-0.0591,0.8981,0
33,-0.0832,0.9497,0,-0.1704,0.999,0,-0.0888,0.9091,0
34,-0.0277,0.9497,0,-0.0894,0.999,0,-0.04,0.8981,0
35,0.0001,0.9497,0,0.0017,0.999,0,0.0403,0.6861,0
36,-0.0967,0.9497,0,-0.0736,0.999,0,-0.0132,0.8796,0
37,-0.1005,0.9497,0,-0.0697,0.999,0,-0.0112,0.8796,0
38,-0.057,0.9497,0,-0.1019,0.999,0,0.0759,0.5427,0
39,-0.0705,0.9497,0,-0.0327,0.999,0,0.0685,0.5427,0
40,0.0309,0.9497,0,0.028,0.999,0,0.1605,0.2937,0
41,-0.0099,0.9497,0,0.0791,0.999,0,0.1562,0.2937,0
42,-0.05,0.9497,0,0.0301,0.999,0,0.0725,0.5427,0
