Label Name,Network Name,Full Component Name,Abbv.
17Networks_LH_VisCent_Striate,central visual  ,striate cortex,VIS
17Networks_LH_VisCent_ExStr,central visual,extrastriate cortex,VIS
17Networks_LH_VisPeri_StriCal,peripheral visual ,striate calcarine,VIS
17Networks_LH_VisPeri_ExStrInf,peripheral visual,extra-striate inferior,VIS
17Networks_LH_VisPeri_ExStrSup,peripheral visual,extra-striate superior,VIS
17Networks_LH_SomMotA,somatomotor A,somatomotor A,SM
17Networks_LH_SomMotB_Cent,somatomotor B,central ,SM
17Networks_LH_SomMotB_S2,somatomotor B,S2,SM
17Networks_LH_SomMotB_Ins,somatomotor B,insula,SM
17Networks_LH_SomMotB_Aud,somatomotor B,auditory,SM
17Networks_LH_DorsAttnA_TempOcc,dorsal attention A,temporal occipital,DAN
17Networks_LH_DorsAttnA_ParOcc,dorsal attention A,parietal occipital,DAN
17Networks_LH_DorsAttnA_SPL,dorsal attention A,superior parietal lobule,DAN
17Networks_LH_DorsAttnB_TempOcc,dorsal attention B,temporal occipital,DAN
17Networks_LH_DorsAttnB_PostC,dorsal attention B,post central,DAN
17Networks_LH_DorsAttnB_FEF,dorsal attention B,frontal eye fields,DAN
17Networks_LH_DorsAttnB_PrCv,dorsal attention B,precentral ventral,DAN
17Networks_LH_SalVentAttnA_ParOper,salience / ventral attention A,parietal operculum,VAN
17Networks_LH_SalVentAttnA_FrOper,salience / ventral attention A,frontal operculum ,VAN
17Networks_LH_SalVentAttnA_Ins,salience / ventral attention A,insula,VAN
17Networks_LH_SalVentAttnA_ParMed,salience / ventral attention A,parietal medial,VAN
17Networks_LH_SalVentAttnA_FrMed,salience / ventral attention A,frontal medial,VAN
17Networks_LH_SalVentAttnB_IPL,salience / ventral attention B,inferior parietal lobule,VAN
17Networks_LH_SalVentAttnB_PFCd,salience / ventral attention B,dorsal prefrontal cortex,VAN
17Networks_LH_SalVentAttnB_PFCl,salience / ventral attention B,lateral prefrontal cortex,VAN
17Networks_LH_SalVentAttnB_Ins,salience / ventral attention B,insula,VAN
17Networks_LH_SalVentAttnB_OFC,salience / ventral attention B,orbital frontal cortex,VAN
17Networks_LH_SalVentAttnB_PFCmp,salience / ventral attention B, medial posterior prefrontal cortex,VAN
17Networks_LH_LimbicA_TempPole,limbic A,temporal pole,LIMB
17Networks_LH_LimbicB_OFC,limbic B,orbital frontal cortex,LIMB
17Networks_LH_ContA_Temp,control A,temporal,CONT
17Networks_LH_ContA_IPS,control A,intraparietal sulcus,CONT
17Networks_LH_ContA_PFCd,control A,dorsal prefrontal cortex,CONT
17Networks_LH_ContA_PFCl,control A,lateral prefrontal cortex,CONT
17Networks_LH_ContA_PFClv,control A,lateral ventral prefrontal cortex,CONT
17Networks_LH_ContA_Cingm,control A,mid-cingulate,CONT
17Networks_LH_ContB_Temp,control B,temporal,CONT
17Networks_LH_ContB_IPL,control B,inferior parietal lobule,CONT
17Networks_LH_ContB_PFCd,control B ,dorsal prefrontal cortex,CONT
17Networks_LH_ContB_PFCl,control B,lateral prefrontal cortex,CONT
17Networks_LH_ContB_PFClv,control B,lateral ventral prefrontal cortex,CONT
17Networks_LH_ContB_PFCmp,control B ,medial posterior prefrontal cortex,CONT
17Networks_LH_ContC_pCun,control C,precuneus,CONT
